shoulderWidth,bustCircumference,waistCircumference,hipCircumference,body_shape,necklines
15.5,34,26,39.5,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
16,32.5,26,34,Rectangle,"Halter Neck, Off the Shoulder"
15,34,26,33.5,Rectangle,"Halter Neck, Off the Shoulder"
15.5,40,34,44,Rectangle,"Halter Neck, Off the Shoulder"
14,33.25,24.5,35.5,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
15,35,27,36,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
15,39.5,32.5,43.75,Apple,V-Neck
16,39.5,32,41.5,Rectangle,"Halter Neck, Off the Shoulder"
14.5,34.5,28,40,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
15,35.5,29,40,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
16,34.5,29.5,36.5,Rectangle,"Halter Neck, Off the Shoulder"
16,32.5,28,37,Rectangle,"Halter Neck, Off the Shoulder"
16,36,27,39.5,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
15,33.5,27,39,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
14,33.5,27.5,34.5,Rectangle,"Halter Neck, Off the Shoulder"
15,33,27,36.5,Apple,V-Neck
16,37.5,29,38,Rectangle,"Halter Neck, Off the Shoulder"
16,40,34,44,Rectangle,"Halter Neck, Off the Shoulder"
15,32,26,34.5,Rectangle,"Halter Neck, Off the Shoulder"
16,35,27,37,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
17,40.5,36,48,Pear,"V-Neck, Boat Neck"
14.5,37,32.5,42,Rectangle,"Halter Neck, Off the Shoulder"
17,41,34,43,Rectangle,"Halter Neck, Off the Shoulder"
16,40,33,41,Rectangle,"Halter Neck, Off the Shoulder"
15,38,30,44,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
16,40,37.5,45,Rectangle,"Halter Neck, Off the Shoulder"
16,40,27,45,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
16,40,34,43,Rectangle,"Halter Neck, Off the Shoulder"
16,39,30,41.5,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
15,35,28,40.5,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
15,34,29,34,Rectangle,"Halter Neck, Off the Shoulder"
16,41.5,34,44.5,Rectangle,"Halter Neck, Off the Shoulder"
15,35,25.5,40,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
14,36.5,30,41,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
15,34,29,42,Pear,"V-Neck, Boat Neck"
16,42,36,45,Rectangle,"Halter Neck, Off the Shoulder"
14,31,26,33,Rectangle,"Halter Neck, Off the Shoulder"
15,31.5,27,39,Pear,"V-Neck, Boat Neck"
15.5,41,31.5,45,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
14,32,25,33,Rectangle,"Halter Neck, Off the Shoulder"
15.5,46.5,35.5,48,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
14,38,31,42,Apple,V-Neck
14,50,36,48,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
15,41.5,32,43.5,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
16,39.5,33.5,43.5,Rectangle,"Halter Neck, Off the Shoulder"
16,40,35.5,42.5,Rectangle,"Halter Neck, Off the Shoulder"
16,39,36,43,Rectangle,"Halter Neck, Off the Shoulder"
16,35.5,26.75,41,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
15,38.5,32,42.5,Rectangle,"Halter Neck, Off the Shoulder"
17,42.5,34,44,Rectangle,"Halter Neck, Off the Shoulder"
17,44,40,46,Rectangle,"Halter Neck, Off the Shoulder"
15,31.5,27,38,Pear,"V-Neck, Boat Neck"
16,35,27,37.5,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
15,36,28,41,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
15,33.5,26.5,35.5,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
14,32,28,35,Rectangle,"Halter Neck, Off the Shoulder"
16,37.5,30,40,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
14,33,28,35.5,Rectangle,"Halter Neck, Off the Shoulder"
16,44,39,46,Rectangle,"Halter Neck, Off the Shoulder"
15,33,24.5,33,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
14,32.5,27,36,Apple,V-Neck
14,36.75,28,36.5,Rectangle,"Halter Neck, Off the Shoulder"
16,42,33,44,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
14,34.5,28,36,Rectangle,"Halter Neck, Off the Shoulder"
15,36,30,42.5,Pear,"V-Neck, Boat Neck"
16,40.5,35,45,Rectangle,"Halter Neck, Off the Shoulder"
13,33,26,36.5,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
14,34.5,27,37.5,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
15,33,26,40,Pear,"V-Neck, Boat Neck"
15,33.5,28.5,36,Rectangle,"Halter Neck, Off the Shoulder"
15,38.5,31,45.5,Pear,"V-Neck, Boat Neck"
14.5,34,27.5,38,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
15,31.5,26,34,Rectangle,"Halter Neck, Off the Shoulder"
15,35,28.5,41,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
14,40,34,43,Rectangle,"Halter Neck, Off the Shoulder"
15,34,26,39,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
15,35,33,42,Rectangle,"Halter Neck, Off the Shoulder"
16.5,36.5,30.5,43,Pear,"V-Neck, Boat Neck"
15,40,36.5,45,Rectangle,"Halter Neck, Off the Shoulder"
15,30.5,24.5,34,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
20,42,40,48,Rectangle,"Halter Neck, Off the Shoulder"
16,40.5,36,42.5,Rectangle,"Halter Neck, Off the Shoulder"
16,40,37,42,Rectangle,"Halter Neck, Off the Shoulder"
16,38,31.5,44,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
16,34,27.5,37,Apple,V-Neck
15,35,28,38.5,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
16,39,34,42.5,Rectangle,"Halter Neck, Off the Shoulder"
16,41,36.5,47,Rectangle,"Halter Neck, Off the Shoulder"
16,32.5,29,37.5,Rectangle,"Halter Neck, Off the Shoulder"
15,37,30,39,Rectangle,"Halter Neck, Off the Shoulder"
17,45,39,48,Rectangle,"Halter Neck, Off the Shoulder"
16,35,29,39.5,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
15.5,41,37,41,Rectangle,"Halter Neck, Off the Shoulder"
16,33,28,38,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
17,40,38,43,Rectangle,"Halter Neck, Off the Shoulder"
15,36,29,38,Rectangle,"Halter Neck, Off the Shoulder"
17,38.5,31,42,Apple,V-Neck
16,33.5,25.5,36,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
16,35,26.5,35,Rectangle,"Halter Neck, Off the Shoulder"
15,35,28.5,36.5,Rectangle,"Halter Neck, Off the Shoulder"
18,49,46.5,51,Rectangle,"Halter Neck, Off the Shoulder"
16.5,36.5,29,38,Rectangle,"Halter Neck, Off the Shoulder"
16,36,32.5,40,Rectangle,"Halter Neck, Off the Shoulder"
16,37,32.5,41,Rectangle,"Halter Neck, Off the Shoulder"
16.5,37,33,39,Rectangle,"Halter Neck, Off the Shoulder"
16,41,35,40.5,Rectangle,"Halter Neck, Off the Shoulder"
14,31,26,34.5,Rectangle,"Halter Neck, Off the Shoulder"
15,34,28,40,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
15,33,25,35.5,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
15,34,26,37,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
16,38,28.5,42,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
16,40.5,36,41,Rectangle,"Halter Neck, Off the Shoulder"
16,48,46,46,Rectangle,"Halter Neck, Off the Shoulder"
16,32,23.5,33,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
16,40.5,36,45,Rectangle,"Halter Neck, Off the Shoulder"
16,35.5,32.5,39,Rectangle,"Halter Neck, Off the Shoulder"
16,41,35,42,Rectangle,"Halter Neck, Off the Shoulder"
15,35,26,37,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
15,37.5,30,39,Rectangle,"Halter Neck, Off the Shoulder"
15,39,36.5,40,Rectangle,"Halter Neck, Off the Shoulder"
13.5,32,27.5,36,Rectangle,"Halter Neck, Off the Shoulder"
15.5,40,33,41.5,Rectangle,"Halter Neck, Off the Shoulder"
15.5,40,34.5,42.5,Rectangle,"Halter Neck, Off the Shoulder"
15,33,27,34,Rectangle,"Halter Neck, Off the Shoulder"
15,34,27.5,38,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
14,30,27,37,Pear,"V-Neck, Boat Neck"
16,38.5,28.5,42,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
16,35,30,38,Rectangle,"Halter Neck, Off the Shoulder"
16,38,32,39,Rectangle,"Halter Neck, Off the Shoulder"
15,33,25,36,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
16,39,31,39,Rectangle,"Halter Neck, Off the Shoulder"
16,39,31,37,Rectangle,"Halter Neck, Off the Shoulder"
13.5,31,31,35,Rectangle,"Halter Neck, Off the Shoulder"
15,35,28,38,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
16,42.5,40,49,Rectangle,"Halter Neck, Off the Shoulder"
17,43,37,41,Rectangle,"Halter Neck, Off the Shoulder"
15,34.5,27,38,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
16,38,38.5,44,Rectangle,"Halter Neck, Off the Shoulder"
17,43,37,46.5,Rectangle,"Halter Neck, Off the Shoulder"
17,44,42.5,47.5,Rectangle,"Halter Neck, Off the Shoulder"
15,36,28,40,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
14,34,26,36,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
16,34,30,40,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
15,37,30,39,Rectangle,"Halter Neck, Off the Shoulder"
16,37.5,30,40,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
16,42,39,47.5,Rectangle,"Halter Neck, Off the Shoulder"
14,34,26,36,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
16,34,30,40,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
15,37,30,39,Rectangle,"Halter Neck, Off the Shoulder"
16,37.5,30,40,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
17,42,39,47.5,Rectangle,"Halter Neck, Off the Shoulder"
16,44.5,40,49,Rectangle,"Halter Neck, Off the Shoulder"
14,33,28,38,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
17,39,32.5,41.5,Rectangle,"Halter Neck, Off the Shoulder"
15,35,30,41,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
15,35,31.5,45,Pear,"V-Neck, Boat Neck"
15.5,40,35.5,40,Rectangle,"Halter Neck, Off the Shoulder"
17,39.5,35.5,42,Rectangle,"Halter Neck, Off the Shoulder"
17,37,34,40,Rectangle,"Halter Neck, Off the Shoulder"
14,31.5,25,35,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
15,36,28,42.5,Pear,"V-Neck, Boat Neck"
15,36,30,44,Pear,"V-Neck, Boat Neck"
15,33,25,36,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
16,38,35,40,Rectangle,"Halter Neck, Off the Shoulder"
17,39,30,43,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
18,44,38,46,Rectangle,"Halter Neck, Off the Shoulder"
17,42,34,46.5,Apple,V-Neck
17,45,44,45.5,Rectangle,"Halter Neck, Off the Shoulder"
17,44,40,52,Rectangle,"Halter Neck, Off the Shoulder"
15,41,35,42,Rectangle,"Halter Neck, Off the Shoulder"
14,31.5,24,36,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
14,32,26,36,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
16,37,33.5,41,Rectangle,"Halter Neck, Off the Shoulder"
19,45,38.5,47,Rectangle,"Halter Neck, Off the Shoulder"
19,45,40,48,Rectangle,"Halter Neck, Off the Shoulder"
16,31,26.5,34.5,Rectangle,"Halter Neck, Off the Shoulder"
16,43,41,45,Rectangle,"Halter Neck, Off the Shoulder"
16,40,31,41,Rectangle,"Halter Neck, Off the Shoulder"
15,35,28,41,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
15,37,31,41,Rectangle,"Halter Neck, Off the Shoulder"
16,42,37,42.5,Rectangle,"Halter Neck, Off the Shoulder"
15,39,34,40,Rectangle,"Halter Neck, Off the Shoulder"
16,32,28,35,Rectangle,"Halter Neck, Off the Shoulder"
15,30,26,32.5,Rectangle,"Halter Neck, Off the Shoulder"
14,28,25,29,Rectangle,"Halter Neck, Off the Shoulder"
15,37,32,41,Rectangle,"Halter Neck, Off the Shoulder"
16,39,33,40,Rectangle,"Halter Neck, Off the Shoulder"
16,35.5,29.5,38,Rectangle,"Halter Neck, Off the Shoulder"
18,46,42,51,Rectangle,"Halter Neck, Off the Shoulder"
16,37.5,33.5,40.5,Rectangle,"Halter Neck, Off the Shoulder"
16,42,35.5,44.5,Rectangle,"Halter Neck, Off the Shoulder"
14,34,27,33.5,Rectangle,"Halter Neck, Off the Shoulder"
14,32,27,36,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
15,32,25,36,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
16,38.5,35,43,Rectangle,"Halter Neck, Off the Shoulder"
16,39,37,43.5,Rectangle,"Halter Neck, Off the Shoulder"
16,35,28,36,Rectangle,"Halter Neck, Off the Shoulder"
17,36,27.5,39,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
17,42,35,47.5,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
18,42,41,47.5,Rectangle,"Halter Neck, Off the Shoulder"
18,42.5,38,47,Rectangle,"Halter Neck, Off the Shoulder"
15,40,32.5,45,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
15,34,34,37,Rectangle,"Halter Neck, Off the Shoulder"
16,35.5,28,38,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
16,42.5,38.5,42.5,Rectangle,"Halter Neck, Off the Shoulder"
16,39,29,40,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
16.5,41,39,43.5,Rectangle,"Halter Neck, Off the Shoulder"
16,33,27,34,Rectangle,"Halter Neck, Off the Shoulder"
16,37,30,40,Apple,V-Neck
16,33,26.5,35,Rectangle,"Halter Neck, Off the Shoulder"
16,40.5,34,45.5,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
14.5,28,25,29,Rectangle,"Halter Neck, Off the Shoulder"
16.5,39,34,41.5,Rectangle,"Halter Neck, Off the Shoulder"
17,42,32,41,Rectangle,"Halter Neck, Off the Shoulder"
16,40,32,43,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
17,38.5,33,42,Rectangle,"Halter Neck, Off the Shoulder"
17,40,35,42,Rectangle,"Halter Neck, Off the Shoulder"
17,39,33.5,44.5,Rectangle,"Halter Neck, Off the Shoulder"
18,41,37,44,Rectangle,"Halter Neck, Off the Shoulder"
15,37,33,40.5,Rectangle,"Halter Neck, Off the Shoulder"
15,35,33,36,Rectangle,"Halter Neck, Off the Shoulder"
14.5,33,29,36,Rectangle,"Halter Neck, Off the Shoulder"
15,34,29,37,Rectangle,"Halter Neck, Off the Shoulder"
15,40,36,40,Rectangle,"Halter Neck, Off the Shoulder"
15,38,33,39,Rectangle,"Halter Neck, Off the Shoulder"
14,39,34,40.5,Rectangle,"Halter Neck, Off the Shoulder"
15,36,31,41.5,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
17,44,40,50,Rectangle,"Halter Neck, Off the Shoulder"
16,37.5,32.5,37.5,Rectangle,"Halter Neck, Off the Shoulder"
16,37,30,41.5,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
15,35,29.5,38.5,Rectangle,"Halter Neck, Off the Shoulder"
18,41,35.5,44,Rectangle,"Halter Neck, Off the Shoulder"
15,35,26,34,Rectangle,"Halter Neck, Off the Shoulder"
17,50,41,46,Rectangle,"Halter Neck, Off the Shoulder"
17,44,40,46,Rectangle,"Halter Neck, Off the Shoulder"
16,43,37.5,45,Rectangle,"Halter Neck, Off the Shoulder"
15,34,28.5,38.5,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
16,41.5,35,40,Rectangle,"Halter Neck, Off the Shoulder"
16.5,48,37.5,48,Rectangle,"Halter Neck, Off the Shoulder"
15,38,29,43,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
16,36,39,41,Rectangle,"Halter Neck, Off the Shoulder"
15,33,26,34,Rectangle,"Halter Neck, Off the Shoulder"
15,36,30.5,40,Rectangle,"Halter Neck, Off the Shoulder"
16,37,31.5,40.5,Rectangle,"Halter Neck, Off the Shoulder"
14,37,30,36,Rectangle,"Halter Neck, Off the Shoulder"
14,35.5,27.5,39,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
14,35.5,30,37,Rectangle,"Halter Neck, Off the Shoulder"
